Date,Plot ID,Treatment Type,ExG,Total Soil Moisture,Irrigation Added (gallons),Rainfall (gallons),ET0 (mm),Heat Index (F),Kc (Crop Coefficient)
6/4/2025,102,R_F,0.3020685855,NA,NA,NA,NA,NA,NA
6/4/2025,404,H_I,0.4377852447,NA,NA,NA,NA,NA,0.4648
6/4/2025,409,F_I,0.3888971091,NA,NA,NA,NA,NA,NA
6/5/2025,102,R_F,0.65,NA,NA,NA,NA,NA,0.3796
6/5/2025,404,H_I,1,NA,NA,NA,NA,NA,0.4648
6/5/2025,409,F_I,0.86,NA,NA,NA,NA,NA,0.4607
6/6/2025,102,R_F,NA,238.4555556,0,0,8.9,81.608735,0.3796
6/6/2025,409,F_I,NA,189.9181818,0,0,8.9,81.608735,0.4648
6/7/2025,102,R_F,NA,229.5791667,0,0,9.6,81.919,0.3801
6/7/2025,404,H_I,NA,209.3789474,0,0,9.6,81.919,0.4651
6/7/2025,409,F_I,NA,189.4958333,0,0,9.6,81.919,0.4612
6/8/2025,102,R_F,NA,224.126087,0,573.11,9,81.765,0.3801
6/8/2025,404,H_I,NA,206.4869565,0,573.11,9,81.765,0.4651
6/8/2025,409,F_I,NA,188.8208333,0,573.11,9,81.765,0.4612
6/9/2025,102,R_F,NA,220.9166667,0,0,8.8,82.4605,0.3801
6/9/2025,404,H_I,NA,204.0458333,0,0,8.8,82.4605,0.4651
6/9/2025,409,F_I,NA,188.1043478,0,0,8.8,82.4605,0.4612
6/10/2025,102,R_F,0.98,218.4833333,0,0,8.6,81.918245,0.3801
6/10/2025,404,H_I,0.48,202.0695652,0,0,8.6,81.918245,0.4651
6/10/2025,409,F_I,0.73,187.4875,0,0,8.6,81.918245,0.4612
6/11/2025,102,R_F,NA,220.3347826,0,318.91,5,79.33197,0.3801
6/11/2025,404,H_I,NA,204.1416667,0,318.91,5,79.33197,0.4651
6/11/2025,409,F_I,NA,188.6173913,0,318.91,5,79.33197,0.4612
6/12/2025,102,R_F,NA,220.7833333,0,306.23,5.4,77.87606,0.7977
6/12/2025,404,H_I,NA,206.2041667,0,306.23,5.4,77.87606,0.4651
6/12/2025,409,F_I,NA,189.35,0,306.23,5.4,77.87606,0.6862
6/13/2025,102,R_F,NA,222.6,0,0,6.2,80.32114,0.7977
6/13/2025,404,H_I,NA,207.9608696,0,0,6.2,80.32114,0.4651
6/13/2025,409,F_I,NA,192.0571429,0,0,6.2,80.32114,0.6862
6/14/2025,102,R_F,NA,220.7869565,0,0,6,81.560625,0.8378
6/14/2025,404,H_I,NA,206.75,0,0,6,81.560625,0.6886
6/14/2025,409,F_I,NA,191.9666667,0,0,6,81.560625,0.6862
6/15/2025,102,R_F,NA,218.575,0,90.6,6,81.838925,0.8378
6/15/2025,404,H_I,NA,205.4916667,0,90.6,6,81.838925,0.6886
6/15/2025,409,F_I,NA,191.75,0,90.6,6,81.838925,0.6862
6/16/2025,102,R_F,0.42,221.625,0,9.06,5.1,77.47249,0.8378
6/16/2025,404,H_I,0.54,207.9782609,0,9.06,5.1,77.47249,0.6886
6/16/2025,409,F_I,0.49,193.9875,0,9.06,5.3,77.47249,0.6862
6/17/2025,102,R_F,NA,223.1347826,0,0,7.3,80.14658,0.8378
6/17/2025,404,H_I,NA,207.8958333,0,0,7.3,80.14658,0.6886
6/17/2025,409,F_I,NA,193.8166667,0,0,7.3,80.14658,0.6862
6/18/2025,102,R_F,NA,220.9875,0,0,7.5,81.190225,0.4697
6/18/2025,404,H_I,NA,206.3541667,0,0,7.5,81.190225,0.6886
6/18/2025,409,F_I,NA,193.8869565,0,0,7.5,81.190225,0.5775
6/19/2025,102,R_F,NA,218.1625,0,163.08,7.5,80.9976,0.4697
6/19/2025,404,H_I,NA,204.6086957,0,163.08,7.5,80.9976,0.5824
6/19/2025,409,F_I,NA,193.3208333,0,163.08,7.5,80.9976,0.5775
6/20/2025,102,R_F,0.26,215.9652174,0,9.06,7.2,80.95748,0.4697
6/20/2025,404,H_I,0.07,202.7625,0,9.06,7.2,80.95748,0.5824
6/20/2025,409,F_I,0.11,192.7913043,0,9.06,7.2,80.95748,0.5775
6/21/2025,102,R_F,NA,214.1375,0,120.5,7.1,80.77128,0.4618
6/21/2025,404,H_I,NA,200.8125,0,120.5,7.1,80.77128,0.5824
6/21/2025,409,F_I,NA,191.9625,0,120.5,7.1,80.77128,0.5661
6/22/2025,102,R_F,NA,212.6125,0,9.06,8.5,81.04293,0.4618
6/22/2025,404,H_I,NA,198.9695652,0,9.06,8.5,81.04293,0.5824
6/22/2025,409,F_I,NA,191.1826087,0,9.06,8.5,81.04293,0.5661
6/23/2025,102,R_F,NA,211.2434783,0,0,8,81.1739,0.4618
6/23/2025,404,H_I,NA,197.1791667,0,0,8,81.1739,0.5824
6/23/2025,409,F_I,NA,190.5333333,0,0,8,81.1739,0.5661
6/24/2025,102,R_F,NA,210,0,0,8.3,80.89784,0.4618
6/24/2025,404,H_I,NA,195.5695652,0,0,8.3,80.89784,0.5713
6/24/2025,409,F_I,NA,190.1043478,0,0,8.3,80.89784,0.5661
6/25/2025,102,R_F,NA,208.8583333,0,36.24,8.1,80.35806,0.4618
6/25/2025,404,H_I,NA,194.0083333,0,36.24,8.1,80.35806,0.5713
6/25/2025,409,F_I,NA,189.925,0,36.24,8.1,80.35806,0.7378
6/26/2025,102,R_F,NA,207.9,0,7.25,8.4,81.06325,0.4618
6/26/2025,404,H_I,NA,192.6416667,0,7.25,8.4,81.06325,0.7246
6/26/2025,409,F_I,NA,190.0652174,0,7.25,8.4,81.06325,0.7378
6/27/2025,102,R_F,NA,207.0478261,0,0,9.6,80.694165,0.4618
6/27/2025,404,H_I,NA,191.5956522,0,0,9.6,80.694165,0.7246
6/27/2025,409,F_I,NA,190.0875,0,0,9.6,80.694165,0.7378
6/28/2025,102,R_F,NA,206.2541667,0,0,9.2,81.15541,0.4618
6/28/2025,404,H_I,NA,190.7083333,0,0,9.2,81.15541,0.7246
6/28/2025,409,F_I,NA,189.9478261,0,0,9.2,81.15541,0.7378
6/29/2025,102,R_F,NA,206.3833333,0,118.18,7.9,79.9765,0.4618
6/29/2025,404,H_I,NA,190.8,0,118.18,7.9,79.9765,0.7246
6/29/2025,409,F_I,NA,189.9291667,0,118.18,7.9,79.9765,0.7378
6/30/2025,102,R_F,NA,207.8826,0,327.17,6.1,85.61,0.4618
6/30/2025,404,H_I,NA,192.5435,0,327.17,6.1,85.65,0.7246
6/30/2025,409,F_I,NA,190.4565,0,327.17,6.1,86.23,0.7378
7/1/2025,102,R_F,NA,209.0474,0,,,94.49,
7/1/2025,404,H_I,NA,195.6842,0,,,94.4,
7/1/2025,409,F_I,NA,191.4778,0,,,94.76,